,ghi_mean,ghi_std,ghi_max,ghi_cv,pv_energy_kwh,pv_peak_kw,load_mean_kw,load_energy_kwh,bess_dis_energy_kwh,bess_ch_energy_kwh,grid_imp_energy_kwh,grid_exp_energy_kwh,temp_mean_c,temp_max_c,day_type
2024-09-07,513.8217021276596,293.5652638603711,892.83,0.5713368326887729,1416.5582232251782,194.92451477050668,54.511824462457135,640.5139374338713,15.850413767000138,323.17595972865814,73.7381344018504,541.9459185997641,26.48063829787234,31.71,high_variability
2024-09-08,191.23531914893616,119.70111100563307,383.17,0.625936210624401,336.780798859895,120.93830362956,32.87078127478984,386.2316799787806,35.85292185842988,85.58519038154432,130.9163235674303,31.158871988455367,19.022659574468086,21.95,high_variability
2024-09-09,519.5561702127659,295.3243934277901,894.03,0.5684166801577015,1407.9141622185707,203.25399780273332,110.52198380316409,1298.6333096871779,19.290510180095797,319.55569691459317,277.30153549214157,85.84081121285746,23.089148936170215,27.09,high_variability
2024-09-10,467.8518085106383,276.3115501540976,885.55,0.5905963066247603,1252.9476476709021,201.94126383463663,128.76939759979456,1513.0404217975863,95.22018286585791,132.57996522386856,361.13974947606476,63.24236927429829,25.834148936170212,30.31,high_variability
2024-09-11,497.88382978723405,285.6808791476205,871.83,0.5737902338979425,1157.5797980626471,197.45170084635663,173.53347092820772,1518.4178706218179,27.556143417954445,45.29573224267608,431.64606173460606,53.068400350709815,28.211063829787236,32.32,high_variability
2024-09-12,497.741914893617,262.9350317549392,870.53,0.5282557564217524,1472.5851509869087,208.74848937988668,128.80666226745723,1513.4782816426223,48.62378184000651,165.15803648717693,219.34403665860475,61.48818639914195,22.931808510638298,26.39,clear
2024-09-13,560.0535106382979,314.63709199209876,951.65,0.5617982675146598,1499.0027184089006,208.59646606445335,107.55231370265655,1263.7396860062147,15.286124778290613,321.1021032691934,236.57992418606977,165.65419468283653,20.2868085106383,24.54,partly_variable
2024-09-14,588.6260638297872,313.5417132088512,966.1,0.5326670571956155,1561.8673194348764,209.2437693278,52.344114738404215,615.0433481762497,12.729341125271016,322.2316161446895,80.87767933805776,717.7493481238677,21.771063829787234,26.44,clear
2024-09-15,575.9927659574467,311.1193589603523,958.5,0.5401445597032676,1548.3525109787786,207.4505716959633,43.919493118340725,516.0540441405035,11.63431705472371,323.20106248433365,79.17776038249336,799.4700546662008,21.90563829787234,26.01,partly_variable
2024-09-16,317.84170212765963,198.90664628182554,640.83,0.6258041186865266,569.5310156568877,187.44645690918,106.01057342424048,1245.624237734826,21.305801232655867,62.970482716957655,728.5576663774768,10.126521577437776,19.55691489361702,24.04,high_variability
